English common name of herbal substance,Latin name of herbal substance,Full Text PDF URL,Monograph PDF URL,Page URL,Revision date,Interactions with other medicinal products and other forms of interaction,Unnamed: 2,Unnamed: 3,date,url,Undesirable effects,Overdose,Pharmacodynamic properties,Pharmacokinetic properties,Preclinical safety data
Dried juice of Aloes leaves,Aloes folii succus siccatus,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-aloe-barbadensis-mill-aloe-various-species-mainly-aloe-ferox-mill-its_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-aloe-barbadensis-mill-aloe-various-species-mainly-aloe-ferox_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/aloes-folii-succus-siccatus,2022-04-11 11:55:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenal corticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity
Hypersensitivity reactions may occur.
The frequency is not known.
Gastrointestinal disorders
Aloes may produce abdominal pain and spasm
and passage of liquid stools, in particular in
patients with irritable colon. However, these
symptoms may also occur generally as a
consequence of individual over dosage. In such
cases dose reduction is necessary.
Furthermore, chronic use may cause pigmentation
of the intestinal mucosa (pseudomelanosis coli),
which usually recedes when the patient stops
taking the preparation.
The frequencies are not known.
Kidney and Urinary tract symptoms
Long term use may lead to water and electrolyte
imbalance and may result in albuminuria and
haematuria.
Yellow or red-brown (pH dependent)
discolouration of urine by metabolites, which is
not clinically significant, may occur during the
treatment.
The frequencies are not known.
If other adverse reactions not mentioned above
occur, a doctor or a pharmacist should be
consulted.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, especially potassium, should be monitored. This is especially important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmacotherapeutic group: contact laxatives Proposed ATC code: A 06 AB 1,8-dihydroxyanthracene derivatives possess a laxative effect. There are two different mechanisms of action: 1. Stimulation of the motility of the large intestine resulting in accelerated colonic transit. 2. Influence on secretion processes by two concomitant mechanisms viz. inhibition of absorption of water and electrolytes (Na+, Cl-) into the colonic epithelial cells (antiabsorptive effect) and increase of the leakiness of the tight junctions and stimulation of secretion of water and electrolytes into the lumen of the colon (secretagogue effect) resulting in enhanced concentrations of fluid and electrolytes in the lumen of the colon. Defaecation takes place after a delay of 6 - 12 hours due to the time taken for transport to the colon and metabolisation into the active compound.","Aloinosides, aloins and hydroxyaloins pass directly into the large intestine where they are metabolised by bacterial enzymes (viz. Eubacterium sp. strain BAR) into the active anthrone compounds, mainly aloe-emodin-9- anthrone. It is not known to what extent aloeemodin-9-anthrone is absorbed. However, in the case of senna, animal experiments with radiolabelled rhein-anthrone administered directly into the caecum show that only a very small proportion (less than 10%) of rhein-anthrone is absorbed. Systemic metabolism of free anthranoids depends on their ring constituents. In the case of aloeemodin, it has been shown in animal experiments that at least 20-25% of an oral dose is absorbed. The bioavailability of aloe-emodin is much lower than the absorption, because it is quickly oxidised to rhein and unknown metabolites, or conjugated. After administration of other anthranoids, active metabolites, such as rhein, pass in small amounts into breast milk. Animal experiments demonstrated that placental-passage of rhein is low.","There are no preclinical tests available for aqueous extracts from aloe or similar preparations. Studies with emodin (a major constituent of Aloes folii succus siccatus) revealed effects on oestrous cycle length in rats and nephropathy in mice. Furthermore several hydroxyl anthracene derivatives were mutagenic and genotoxic in several in vitro test systems, however this was not proven in in vivo systems. In long term carcinogenicity studies effects on kidneys and colon/caecum were reported. Reproductive toxicity seen was connected to maternal toxicity due to diarrhoeal affects."
Frangula bark,Frangulae cortex,https://www.ema.europa.eu/en/documents/herbal-report/assessment-report-rhamnus-frangula-l-cortex-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/european-union-herbal-monograph-rhamnus-frangula-l-cortex-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/frangulae-cortex,2022-04-11 10:24:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenocorticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity: Hypersensitivity reactions (pruritus, urticaria, local or generalised exanthema) may occur. Gastrointestinal disorders: Frangula bark may produce abdominal pain and spasm and passage of liquid stools, in particular in patients with irritable colon. However, these symptoms may also occur generally as a consequence of individual overdosage. In such cases dose reduction is necessary. Furthermore, chronic use may cause pigmentation of the intestinal mucosa (pseudomelanosis coli), which usually recedes when the patient stops taking the preparation. Kidney and urinary tract symptoms: Long term use may lead to water and electrolyte imbalance and may result in albuminuria and haematuria. Yellow or red-brown (pH dependent) discolouration of urine by metabolites, which is not clinically significant, may occur during the treatment. The frequencies are not known. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, specifically potassium, should be monitored. This is particularly important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmacotherapeutic group: contact laxatives Proposed ATC-code: A06AB 1.8-dihydroxyanthracene derivatives possess a laxative effect. Glucofrangulins and frangulins are respectively Odiglycosides and O-monoglycosides, which are largely (all β-O-glycosides) not split by human digestive enzymes in the upper gut and therefore not absorbed to large extent. They are converted by the bacteria of the large intestine into the active metabolite (emodin-9-anthrone). There are two different mechanisms of action: 1. Stimulation of the motility of the large intestine resulting in accelerated colonic transit. 2. Influence on secretion processes by two concomitant mechanisms: (i) inhibition of absorption of water and electrolytes (Na+, Cl- ) into the colonic epithelial cells (anti-absorptive effect) and (ii) increase of the leakiness of the tight junctions and stimulation of secretion of water and electrolytes into the lumen of the colon (secretagogue effect) resulting in enhanced concentrations of fluid and electrolytes in the lumen of the colon. Defaecation occurs after a delay of 8-12 hours following laxative intake due to the time taken for transport to the colon and metabolisation into the active compound.","The β-O-linked glycosides are not split by human digestive enzymes and therefore not absorbed in the upper gut to large extent. They are converted by the bacteria of the large intestine into the active metabolite (emodin-9-anthrone). Mainly anthraquinone aglycones are absorbed and transformed into their corresponding glucuronides and sulphate derivatives. Rhein, emodin and traces of chrysophanol are found in human urine after oral administration of frangula bark extract. Active metabolites, such as rhein, pass in small amounts into breast milk. Animal experiments demonstrated that placental-passage of rhein is low.","There are no preclinical tests available on frangula bark preparations. In the in vitro salmonella/microsome mutagen test and the deoxyribonucleic acid (DNA) repair test of primary rat hepatocytes emodin and frangulin, an alcoholic extract of “Rhamnus frangula”, and a commercial frangula bark preparation showed a dose-dependent increase in the mutation rate or the induction of DNA repair. Studies with emodin (a constituent of frangula bark preparations) revealed effects on oestrus cycle length and nephropathy in mice. Furthermore, several hydroxyl anthracene derivatives were mutagenic and genotoxic in several in vitro test systems, however this was not proven in in vivo systems. In long term carcinogenicity studies effects on kidneys and colon/caecum were reported. The reproductive toxicity observed was linked to maternal toxicity due to diarrhoeal effects."
Nettle root,Urticae radix,https://www.ema.europa.eu/en/documents/herbal-report/assessment-report-urtica-dioica-l-urtica-urens-l-their-hybrids-their-mixtures-radix-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-urtica-dioica-l-urtica-urens-l-their-hybrids-their-mixtures-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/urticae-radix,2022-04-06 09:57:00,None reported.,,,,,"Gastro-intestinal complaints such as nausea, heartburn, feeling of fullness, flatulence, diarrhoea may occur. The frequency is not known. Allergic reactions i.e. pruritus, rash, urticaria may occur. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product."
Lime flower,Tiliae flos,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-tilia-cordata-miller-tilia-platyphyllos-scop-tilia-x-vulgaris-heyne-their_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-tilia-cordata-miller-tilia-platyphyllos-scop-tilia-x-vulgaris-heyne_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/tiliae-flos,2022-04-06 09:55:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on genotoxicity have not been performed. Tests on reproductive toxicity and carcinogenicity have not been performed."
Salvia miltiorrhiza root and rhizome ('Danshen'),Salviae miltiorrhizae radix et rhizoma,only draft available,Not available,https://www.ema.europa.eu/en/medicines/herbal/salviae-miltiorrhizae-rhizoma,2022-04-06 09:53:00,,,,,,,,,,
Arctic root,Rhodiolae roseae rhizoma et radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-rhodiola-rosea-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-rhodiola-rosea-first-version_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/rhodiolae-roseae-rhizoma-et-radix,2022-04-06 09:49:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
White horehound,Marrubii herba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-marrubium-vulgare-l-herba-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-marrubium-vulgare-l-herba-first-version_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/marrubii-herba,2022-03-25 13:03:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
Nettle Leaf,Urticae folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-urtica-dioica-l-urtica-urens-l-folium_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-urtica-dioica-l-urtica-urens-l-folium_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/urticae-folium,2022-03-25 12:33:00,None reported.,,,,,"Mild gastrointestinal complaints (e.g. nausea, vomiting, diarrhoea) and skin reactions (e.g. itching, exanthema, hives) may occur. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
Dittany of Crete herb,Origani dictamni herba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-origanum-dictamnus-l-herba-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-origanum-dictamnus-l-herba-first-version_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/origani-dictamni-herba,2022-03-25 10:59:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
Chicory root,Cichorii intybi radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-cichorium-intybus-l-radix_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-cichorium-intybus-l-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cichorii-intybi-radix,2022-03-18 12:21:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
Bladderwrack,Fucus,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-fucus-vesiculosus-l-thallus_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-fucus-vesiculosus-l-thallus_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/fucus,2022-03-16 15:22:00,One case report of hyperthyroidism was published in a patient diagnosed with bipolar disorder and under treatment with lithium.,,,,,None known.,"The daily intake of 700 or 1,400 mg (n=3) for several weeks resulted in an increased inter menstrual period. Intake of higher dosages than recommended can change the TSH levels. (see also section 6 pharmaceutical particulars) Exceeding doses may cause aggravation of acne, heart palpitation, increased heart rate, trembling, changes in blood pressure, and increased basal metabolism.",Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Data on adequate tests on reproductive toxicity, genotoxicity and carcinogenicity are not publicly available."
